,Home Team,Away Team,year,league,Home_win,Draw_win,Away_win,HT_results,AT_results
2388,BRIGHTON,SOUTHAMPTON,2020,english,0.35511836418709014,0.27207584835172466,0.37280578746118515,"['lose', 'lose', 'draw', 'draw', 'draw', 'lose', 'draw', 'lose', 'draw', 'draw']","['lose', 'win', 'win', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'lose']"
2389,ASTON VILLA,NEWCASTLE,2020,english,0.5565467853125554,0.26940986162329517,0.1740433530641494,"['win', 'win', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'lose', 'draw']","['lose', 'win', 'lose', 'win', 'lose', 'win', 'draw', 'draw', 'lose', 'lose']"
2390,LEEDS UTD,WEST HAM,2020,english,0.4525272379143785,0.25900122993538593,0.2884715321502355,"['win', 'draw', 'lose', 'lose', 'draw', 'lose', 'win', 'win', 'win', 'lose', 'lose']","['lose', 'win', 'draw', 'win', 'win', 'lose', 'draw', 'draw', 'win', 'win', 'lose']"
2391,WOLVES,ASTON VILLA,2020,english,0.25760542332960223,0.3219271392830471,0.4204674373873508,"['lose', 'win', 'draw', 'win', 'draw', 'lose', 'win', 'draw', 'lose', 'lose', 'win']","['win', 'win', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'lose', 'draw', 'lose']"
2392,NEWCASTLE,WEST BROM,2020,english,0.4539133328169006,0.30126968822245187,0.24481697896064752,"['lose', 'win', 'lose', 'win', 'lose', 'win', 'draw', 'draw', 'lose', 'lose', 'lose']","['lose', 'draw', 'draw', 'lose', 'win', 'lose', 'lose', 'lose', 'lose', 'lose', 'draw']"
2393,MAN UTD,MAN CITY,2020,english,0.5061938245135055,0.2709731297811385,0.22283304570535603,"['lose', 'lose', 'draw', 'lose', 'win', 'draw', 'win', 'win', 'win', 'lose', 'win']","['win', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win', 'win', 'win', 'win']"
2394,EVERTON,CHELSEA,2020,english,0.20926563422389188,0.2728541845888263,0.5178801811872819,"['win', 'win', 'draw', 'lose', 'lose', 'win', 'win', 'lose', 'lose', 'draw', 'lose']","['lose', 'win', 'draw', 'win', 'draw', 'win', 'win', 'draw', 'lose', 'draw', 'win']"
2395,SOUTHAMPTON,SHEFFIELD UTD,2020,english,0.5918594779231185,0.25164075730310614,0.1564997647737753,"['lose', 'win', 'win', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'lose', 'lose']","['lose', 'lose', 'draw', 'lose', 'lose', 'lose', 'lose', 'lose', 'win', 'lose', 'win']"
2396,CRYSTAL PALACE,TOTTENHAM,2020,english,0.32752843142739474,0.2892416661467377,0.38322990242586746,"['win', 'lose', 'draw', 'win', 'lose', 'draw', 'lose', 'draw', 'win', 'lose', 'win']","['lose', 'draw', 'draw', 'win', 'win', 'win', 'lose', 'draw', 'win', 'lose', 'lose']"
2397,FULHAM,LIVERPOOL,2020,english,0.23456745331709963,0.2666135077607139,0.49881903892218643,"['lose', 'lose', 'lose', 'win', 'lose', 'draw', 'draw', 'draw', 'lose', 'lose', 'lose']","['win', 'win', 'win', 'win', 'win', 'win', 'win', 'draw', 'lose', 'draw', 'lose']"
2398,ARSENAL,BURNLEY,2020,english,0.47614713695034055,0.3976690745874008,0.1261837884622586,"['win', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'win', 'draw', 'win', 'draw']","['lose', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win', 'lose']"
2399,LEICESTER CITY,BRIGHTON,2020,english,0.4902322542189164,0.37913851299383394,0.13062923278724956,"['win', 'lose', 'lose', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'win', 'lose']","['lose', 'lose', 'draw', 'draw', 'draw', 'lose', 'draw', 'lose', 'draw', 'draw', 'win']"
2400,WOLVES,CHELSEA,2020,english,0.23675386634801907,0.28074083812000133,0.4825052955319796,"['lose', 'win', 'draw', 'win', 'draw', 'lose', 'win', 'draw', 'lose', 'lose', 'win', 'draw']","['lose', 'win', 'draw', 'win', 'draw', 'win', 'win', 'draw', 'lose', 'draw', 'win', 'win']"
2401,MAN CITY,WEST BROM,2020,english,0.8440757349173605,0.08069138521418615,0.0752328798684533,"['win', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win', 'win', 'win', 'win', 'win']","['lose', 'draw', 'draw', 'lose', 'win', 'lose', 'lose', 'lose', 'lose', 'lose', 'draw', 'draw']"
2402,ARSENAL,SOUTHAMPTON,2020,english,0.3597066730876346,0.3001692802900646,0.3401240466223008,"['win', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'win', 'draw', 'win', 'draw', 'win']","['lose', 'win', 'win', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'lose', 'lose', 'lose']"
2403,LEICESTER CITY,EVERTON,2020,english,0.5577212955600699,0.29331053138342855,0.14896817305650167,"['win', 'lose', 'lose', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'win', 'lose', 'win']","['win', 'win', 'draw', 'lose', 'lose', 'win', 'win', 'lose', 'lose', 'draw', 'lose', 'lose']"
2404,LEEDS UTD,NEWCASTLE,2020,english,0.45945455033161603,0.28925072009290664,0.25129472957547744,"['win', 'draw', 'lose', 'lose', 'draw', 'lose', 'win', 'win', 'win', 'lose', 'lose', 'win']","['lose', 'win', 'lose', 'win', 'lose', 'win', 'draw', 'draw', 'lose', 'lose', 'lose', 'win']"
2405,LIVERPOOL,TOTTENHAM,2020,english,0.33735622973975116,0.4460294016873866,0.21661436857286231,"['win', 'win', 'win', 'win', 'win', 'win', 'win', 'draw', 'lose', 'draw', 'lose', 'lose']","['lose', 'draw', 'draw', 'win', 'win', 'win', 'lose', 'draw', 'win', 'lose', 'lose', 'win']"
2406,FULHAM,BRIGHTON,2020,english,0.2982518337672726,0.30557522158900163,0.3961729446437257,"['lose', 'lose', 'lose', 'win', 'lose', 'draw', 'draw', 'draw', 'lose', 'lose', 'lose', 'draw']","['lose', 'lose', 'draw', 'draw', 'draw', 'lose', 'draw', 'lose', 'draw', 'draw', 'win', 'draw']"
2407,WEST HAM,CRYSTAL PALACE,2020,english,0.5380284566119081,0.30257418267770353,0.15939736071038835,"['lose', 'win', 'draw', 'win', 'win', 'lose', 'draw', 'draw', 'win', 'win', 'lose', 'win']","['win', 'lose', 'draw', 'win', 'lose', 'draw', 'lose', 'draw', 'win', 'lose', 'win', 'lose']"
2408,ASTON VILLA,BURNLEY,2020,english,0.6652491644223378,0.24255047634985144,0.09220035922781071,"['win', 'win', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'lose', 'draw', 'lose', 'win']","['lose', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win', 'lose', 'draw']"
2409,SHEFFIELD UTD,MAN UTD,2020,english,0.23582930061499105,0.23497866880968513,0.5291920305753237,"['lose', 'lose', 'draw', 'lose', 'lose', 'lose', 'lose', 'lose', 'win', 'lose', 'win', 'lose']","['lose', 'lose', 'draw', 'lose', 'win', 'draw', 'win', 'win', 'win', 'lose', 'win', 'draw']"
2410,CRYSTAL PALACE,LIVERPOOL,2020,english,0.25557946604601256,0.2715410208724186,0.4728795130815687,"['win', 'lose', 'draw', 'win', 'lose', 'draw', 'lose', 'draw', 'win', 'lose', 'win', 'lose', 'draw']","['win', 'win', 'win', 'win', 'win', 'win', 'win', 'draw', 'lose', 'draw', 'lose', 'lose', 'lose']"
2411,SOUTHAMPTON,MAN CITY,2020,english,0.24479622512627391,0.24759316032746073,0.5076106145462654,"['lose', 'win', 'win', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'lose', 'lose', 'lose', 'draw']","['win', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win', 'win', 'win', 'win', 'win', 'win']"
2412,EVERTON,ARSENAL,2020,english,0.4914845225875937,0.2597955202860994,0.24871995712630687,"['win', 'win', 'draw', 'lose', 'lose', 'win', 'win', 'lose', 'lose', 'draw', 'lose', 'lose', 'win']","['win', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'win', 'draw', 'win', 'draw', 'win', 'lose']"
2413,NEWCASTLE,FULHAM,2020,english,0.3817185668215696,0.3838631605286449,0.23441827264978557,"['lose', 'win', 'lose', 'win', 'lose', 'win', 'draw', 'draw', 'lose', 'lose', 'lose', 'win', 'draw']","['lose', 'lose', 'lose', 'win', 'lose', 'draw', 'draw', 'draw', 'lose', 'lose', 'lose', 'draw', 'win']"
